Name,Type,Description,Link,Functional Category,Status,OS Min Compatible,Measure Type,Toolkit Wrapper,Source Repo
Surface Matching Diagnostic,Ruby measure,This will look for surfaces in adjacent spaces with similar geometry and create thermal connections between them.Repo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/ffb0d487-eb1c-4ca4-b008-4fbb7bf511b2,,,,,,
Ideal Loads Options,Ruby measure,"This measure allows the user to edit ideal air loads fields including availability schedules, maximum and minimum supply air temperatures, humidity ratios and flow rates, humidity control, outdoor air requirements, demand controlled ventilation, economizer operation, and heat recovery.Repo: BuildingPerformanceSimulation/openstudio-measures",https://bcl.nrel.gov/content/ae756607-68ba-4615-87df-a0870beede98,,,,,,
Add Interval Schedule From File,Ruby measure,This measure adds a schedule object from a file of interval dataRepo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/b3ff0a0f-16a4-4abf-9574-c3605846637e,,,,,,
Set Output Table To IP Units,Ruby measure,This measure changes the output table to be in IP units.Repo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/c4381bc7-2426-486a-8050-e50c60e718a2,,,,,,
Remove HVAC Systems,Ruby measure,This measure removes HVAC systems from an OpenStudio model.Repo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/169c5b60-6490-4096-8003-7d15090419a9,,,,,,
Split Windows Into Horizontal Segments,Ruby measure,This will replace all exterior rectangular windows with a series of stacked horizontal segments of the same area. The number of segments is determined by a user argument. Note that the resulting windows are adjacent and may result in odd behavior in various interfaces that expect sub surfaces to...Repo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/a385738c-2e04-4c94-9826-72c28e2a8d53,,,,,,
Add Hourly Meters,Ruby measure,This measure adds hourly meters for the most common energy use types.Repo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/2ee535a3-90cd-4f87-9bc8-bdf31b4d12b9,,,,,,
Swap Construction In Construction Set,Ruby measure,This will swap a construction assigned in any construction set with another defined in your model. This will make the change in all construction sets.Repo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/f2dd07a6-51e8-4c66-b814-861f3b0ee678,,,,,,
Rename Air Loop Objects By Air Loop Name,Ruby measure,"This measure will rename node, fan, and outdoor air system objects from a generic name  ""Node 10"" to the air loop name and type of object  ""AHU 1 Supply Air Node"".  This is helpful when investigating air loop controls and operation in outdoor variables.Repo: BuildingPerformanceSimulation/openstudio-measures",https://bcl.nrel.gov/content/3c4592ac-7b89-4623-8c77-55d632c4d10d,,,,,,
Add Waterside Economizer,Ruby measure,This measure adds a waterside economizer to provide free cooling to a user-selected chilled water loop from a user-selected condenser water loop when the outdoor wetbulb temperature is low enough.Repo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/a16cc194-2275-4556-99ec-0d42e84960cf,,,,,,
Assign Zones to Air Loop from CSV,Ruby measure,This measure adds thermal zones and air terminals to an air loop from a user-defined .csv file.Repo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/d156658b-747b-4722-aeed-17b856f09d3f,,,,,,
Change Variable Volume Fan Coefficients,Ruby measure,This measure changes the variable speed fan coefficients to model fan systems with different characteristics and static pressure reset controls.Repo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/c670986e-d20b-4254-9ffa-7495704b30a5,,,,,,
Rename VRF Terminal,Ruby measure,"New new is combination of VRF system name and thermal zone name. This doesn't change the performance of the system in any way, just the name of VRF terminal objectsRepo: BuildingPerformanceSimulation/openstudio-measures",https://bcl.nrel.gov/content/94b4d3dc-719d-4957-8fb7-1590d7042503,,,,,,
Get Lat Long from ground exposed floors,Ruby measure,This is quick utility to gather geometry needed for geojsonRepo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/6f98a732-4826-4905-ab72-e7e081f77325,,,,,,
Report Effective Number of Spaces and Avg Space Size per space type,Ruby measure,"Quick measure to report the effective number of spaces, along with average and total floor area for each space type..Repo: BuildingPerformanceSimulation/openstudio-measures",https://bcl.nrel.gov/content/594a324e-156a-493c-93fb-0cbc0d15509e,,,,,,
Set Building To Construction Set,Ruby measure,This measures changes the building's default construction set to one selected by the user from a list of available default construction sets.Repo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/718d27f6-02f6-4306-8b9a-07d13b126376,,,,,,
Set Zone Height Volume and Area,Ruby measure,"This coudl be used anytime you want to overwrite the calculated values, but it was specifically designe for pinwheel model where there only exterior surfaces associated to the thermal zones.Repo: BuildingPerformanceSimulation/openstudio-measures",https://bcl.nrel.gov/content/64cbdf8e-a6d0-41ee-8bbe-909bf975db3e,,,,,,
ChangeTheRoomType,Ruby measure,Take stratification into accountRepo: BuildingPerformanceSimulation/openstudio-measures,https://bcl.nrel.gov/content/7e1b4317-8488-44fa-bb55-cdf3867292ed,,,,,,
life_cycle_cost_report,Ruby measure,Lists all LifeCycle Cost objects in the model as well as the LifeCycle Cost Parameter objectRepo: BuildingComponentLibrary/legacy-NREL-measures-gem,https://bcl.nrel.gov/content/ae699b16-e6e9-4d8d-acd7-4ed4c51a7239,,,,,,
obj_exporter,Ruby measure,Exports the OpenStudio model in Wavefront OBJ format for viewing in common 3D engines.  One free viewer is available at http://www.open3mod.com/.Repo: BuildingComponentLibrary/legacy-NREL-measures-gem,https://bcl.nrel.gov/content/cb9bde0a-3b21-486b-b451-2455d2539ccc,,,,,,
